Dropzone Name,,State/County,Country,Address
Skydive Pharaohs,Cairo,,Egypt,New Capital Airport     
Skydive Philadelphia,Philadelphia,PA,United States,Pennridge Airport Perkasie     
Skydive Phoenix,Maricopa,AZ,United States,Hidden Valley Airport     
Skydive Portugal,Evora,,Portugal,Aerodromo Municipal de Evora    
Skydive Puebla,Puebla,,Mexico,Aerodromo de Atloaco     
Skydive Puerto Rico,San Juan,PR,United States,Antonio Juarbe Pol Airport Arecibo   
Skydive Riyue Bay,Wanning,,China,Qiong An Airport Wanning    
Skydive Saar (FSZ - Saar),Saarlouis,,Germany,Saarlouis-Dueren       
Skydive San Diego,San Diego,CA,United States,Nichols Field Jamul     
Skydive San Joaquin Valley,Los Angeles,CA,United States,218 Cooper Field Bakersfield    
Skydive San Miguel,San Miguel,,El Salvador,Usulatan El Placatel     
Skydive Santa Barbara,Santa Barbara,CA,United States,Lompoc Airport      
Skydive Santa Fe - Cebu,Cebu,,Philippines,Bantayan Island Airport     
Skydive Saratoga,Saratoga Springs,NY,United States,Heber Airport Gansevoort     
Skydive Sardegna,Cagliari,,Italy,Sardegna Airfield      
Skydive Saulgau,Ulm,,Germany,Bad Saulgau Airport     
Skydive Sebastian,Orlando,FL,United States,Sebastian Municipal Airport     
Skydive Seneca Lake,Geneva,NY,United States,Ovid Airport      
Skydive Shamrat (Sky-Jump),Tamar,,Israel,Bar Yehuda Airfield Tamar Regional Council  
Skydive Shenandoah,Washington,DC,United States,New Market Airport     
Skydive Siquijor,Dumaguete,,Philippines,Siquijor Airport      
Skydive Skydown,Caldwell,ID,United States,Caldwell Executive Airport     
Skydive Slavnica,Trencin,,Slovakia,Slavnica Airport      
Skydive Snohomish Inc.,Seattle,WA,United States,Harvey Field Snohomish     
Skydive Sofia,Sofia,,Bulgaria,Airfield of Ihtiman Ihtiman    
Skydive South Atlanta,Atlanta,GA,United States,Spaceland Airport Rockmart 45    
Skydive Spa,Liege,,Belgium,Aerodrome de la Sauveniere    
Skydive Space Center Inc.,Titusville,FL,United States,Arthur Dunn Airpark Titusville    
Skydive Spaceland-Clewiston,Ft. Lauderdale,FL,United States,Airglades Airport Clewiston     
Skydive Spaceland-Dallas,Dallas,TX,United States,Tri-County Aerodrome Whitewright     
Skydive Spaceland-Houston,Houston,TX,United States,BB Airpark Rosharon     
Skydive Spaceland-San Marcos,Austin,TX,United States,Fentress Airpark      
Skydive Spain,Seville,,Spain,Aerodromo La Juliana Sevilla    
Skydive STL,St. Louis,MO,United States,Sullivan Airport      
Skydive Suffolk,Virginia Beach,VA,United States,Suffolk Airport      
Skydive Sussex,New York City,NY,United States,Sussex County Airport     
Skydive SW Florida Club,Punta Gorda,FL,United States,Shell Creek Airport Punta Gorda   
Skydive Switzerland,Interlaken,,Switzerland,Reichenbach Airport      
Skydive Taiwan,Taitung,,China,Taitung Airport      
Skydive Taiwan,Taitung,,Republic of China,Taitung Airport      
Skydive Tanger,Tangier,,Morocco,Boukhalef Tangier      
Skydive Taroudant,Taroudant,,Morocco,Aeroport Taroudant      
Skydive TC,Traverse City,MI,United States,Cherry Capital Airport Traverse City   
Skydive Tecumseh,Jackson,MI,United States,Napoleon Airport      
Skydive Thailand,Bangkok,,Thailand,Khanong Phra Airport Nakhon Ratchasima   
Skydive The Bahamas,Freeport,,Bahamas,Grand Bahama International Airport Freeport   
Skydive The Falls,Niagara Falls,NY,United States,Windsor Shear Airport Youngstown    
Skydive The Farm,Atlanta,GA,United States,Cornelius Moore Airport Cedartown    
Skydive the Gulf,Elberta,AL,United States,Perdido Winds Airpark     
Skydive The Ranch,New York,NY,United States,Gardner Airport Gardiner     
Skydive the Wasatch,Salt Lake City,UT,United States,Nephi Municipal Airport     
Skydive Thessaloniki,Thessaloniki,,Greece,Giannitsa Airport      
Skydive Thiene,Vicenza,,Italy,Aeroporto A Ferrarin     
Skydive Thru Quero Saltar,São Paulo,,China,Airfield Boituva      
Skydive Toledo,Toledo,OH,United States,Ed Carlson Memorial Field/Winlock Airport   
Skydive Transilvania,Cluj-Napoca,,Romania,Campia Airfield      
Skydive Twin Cities,St. Paul,MN,United States,Baldwin International Airport     
Skydive UC Davis,Davis,CA,United States,Yolo County Airport Davis    
